epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,17.45,0.48754,0.56165,0.8583,0.98579,1,0.995,0.96206,0.32577,0.77437,0.9059,0.000226688,0.000226688,0.000226688
90,17.6175,0.44767,0.53791,0.85474,0.98579,1,0.995,0.96206,0.32577,0.77437,0.9059,0.000211642,0.000211642,0.000211642
91,18.3197,0.49858,0.6887,0.89237,0.98579,1,0.995,0.96206,0.32577,0.77437,0.9059,0.0001962,0.0001962,0.0001962
92,18.6542,0.46724,0.70981,0.83124,0.98592,1,0.995,0.96206,0.32721,0.7794,0.89686,0.000180362,0.000180362,0.000180362
93,18.8517,0.52314,0.73539,0.9365,0.98592,1,0.995,0.96206,0.32721,0.7794,0.89686,0.000164128,0.000164128,0.000164128
94,19.0465,0.42559,0.64628,0.84238,0.98592,1,0.995,0.96206,0.32721,0.7794,0.89686,0.000147498,0.000147498,0.000147498
95,19.2206,0.46217,0.71319,0.85786,0.98592,1,0.995,0.96206,0.32721,0.7794,0.89686,0.000130472,0.000130472,0.000130472
96,19.3897,0.45969,0.75633,0.86592,0.98659,1,0.995,0.96206,0.30989,0.73781,0.88412,0.00011305,0.00011305,0.00011305
97,19.5568,0.44154,0.66243,0.82786,0.98659,1,0.995,0.96206,0.30989,0.73781,0.88412,9.5232e-05,9.5232e-05,9.5232e-05
98,19.7165,0.43893,0.69937,0.83819,0.98659,1,0.995,0.96206,0.30989,0.73781,0.88412,7.7018e-05,7.7018e-05,7.7018e-05
99,19.8801,0.45768,0.70748,0.84887,0.98659,1,0.995,0.96206,0.30989,0.73781,0.88412,5.8408e-05,5.8408e-05,5.8408e-05
100,20.064,0.45774,0.71805,0.83137,0.98668,1,0.995,0.96206,0.30439,0.71025,0.87829,3.9402e-05,3.9402e-05,3.9402e-05
